Person 1,Relationship,Relationship Value
David A. C. Beck,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2204065659,https://www.semanticscholar.org/author/2204065659,David Beck,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617"
R. Fatland,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER,PAPER","3067894,https://www.semanticscholar.org/author/3067894,R. Fatland/Rob Fatland,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Vani Mandava,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","34104922,https://www.semanticscholar.org/author/34104922,None,Software Engineering Practices in Academia: Promoting the 3Rs—Readability$comma$ Resilience$comma$ and Reuse/2023/Andrew Connolly#J. Hellerstein#Naomi Alterman#David A. C. Beck#R. Fatland#Ed Lazowska#Vani Mandava#Sarah Stone/2182964168#1716649#2119816035#2204065659#3067894#1683210#34104922#2215638617"
Michael L. Norman,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2119832817,https://www.semanticscholar.org/author/2119832817,Mike Norman,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Vince Kellen,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2629020,https://www.semanticscholar.org/author/2629020,Vincent J Kellen,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Shava Smallen,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2072918,https://www.semanticscholar.org/author/2072918,None,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Brian DeMeulle,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2119830758,https://www.semanticscholar.org/author/2119830758,None,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Shawn M. Strande,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2743909,https://www.semanticscholar.org/author/2743909,Shawn Strande,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Amanda Tan,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","2119694282,https://www.semanticscholar.org/author/2119694282,None,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
K. Yelick,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","1731111,https://www.semanticscholar.org/author/1731111,Kathy Yelick/Katherine A. Yelick/K. Yelick/Katherine Yelick/Katherine A Yelick/K Yelick,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
Eric Van Dusen,"AUTHORID,AUTHORURL,AUTHORALIASES,PAPER","5304830,https://www.semanticscholar.org/author/5304830,None,CloudBank: Managed Services to Simplify Cloud Access for Computer Science Research and Education/2021/Michael L. Norman#Vince Kellen#Shava Smallen#Brian DeMeulle#Shawn M. Strande#Ed Lazowska#Naomi Alterman#R. Fatland#S. Stone#Amanda Tan#K. Yelick#Eric Van Dusen#James Mitchell/2119832817#2629020#2072918#2119830758#2743909#1683210#2119816035#3067894#2054561579#2119694282#1731111#5304830#2115524710"
